ORCL,2519000
MSFT,2467000
AAPL,36605000
DELL,1424000
HPQ,2951000
IBM,16698000
AOL,1197000
GOOG,50488000
KO,6776000
PEP,6330000
AMZN,18252000
EBAY,2941000
BAC,701000
C,2798000
GS,11314000
MS,1620000
WFC,2420000
AIG,2270000
MRK,3106000
PFE,1771000
